# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   25922   2   -4.118210    1.808869E-04    1.348046E-04    2.674599E+02    3.588898E+02
   25923   2   -4.105406    1.357536E-04    9.868602E-05    3.563810E+02    4.902417E+02
   26192   2   -4.104655    1.350577E-04    1.046586E-04    3.582174E+02    4.622650E+02
   26193   2   -4.117906    1.867885E-04    1.476237E-04    2.590095E+02    3.277251E+02
   26194   2   -4.130694    1.915236E-04    1.542505E-04    2.526060E+02    3.136456E+02
   26195   2   -4.142949    1.903313E-04    1.560116E-04    2.541884E+02    3.101051E+02
   26196   2   -4.154600    1.892375E-04    1.576273E-04    2.556575E+02    3.069265E+02
   26197   2   -4.165578    1.883615E-04    1.591972E-04    2.568466E+02    3.038998E+02
   26198   2   -4.175815    1.876443E-04    1.606769E-04    2.578282E+02    3.011012E+02
   26199   2   -4.185245    1.870341E-04    1.620244E-04    2.586694E+02    2.985970E+02
   26200   2   -4.193807    1.864879E-04    1.632022E-04    2.594271E+02    2.964420E+02
   26201   2   -4.201441    1.859711E-04    1.641777E-04    2.601479E+02    2.946807E+02
   26202   2   -4.208094    1.854557E-04    1.649219E-04    2.608710E+02    2.933510E+02
   26203   2   -4.213720    1.849067E-04    1.653997E-04    2.616455E+02    2.925036E+02
   26204   2   -4.218276    1.842526E-04    1.655442E-04    2.625743E+02    2.922482E+02
   26205   2   -4.221730    1.834052E-04    1.652783E-04    2.637875E+02    2.927185E+02
   26206   2   -4.224057    1.823954E-04    1.646380E-04    2.652480E+02    2.938569E+02
   26207   2   -4.225239    1.814471E-04    1.638347E-04    2.666342E+02    2.952976E+02
   26208   2   -4.225269    1.808033E-04    1.630882E-04    2.675837E+02    2.966494E+02
   26209   2   -4.224146    1.804860E-04    1.624063E-04    2.680541E+02    2.978948E+02
   26210   2   -4.221882    1.802926E-04    1.615890E-04    2.683416E+02    2.994015E+02
   26211   2   -4.218494    1.800306E-04    1.604480E-04    2.687321E+02    3.015306E+02
   26212   2   -4.214010    1.796938E-04    1.589680E-04    2.692358E+02    3.043379E+02
   26213   2   -4.208465    1.793937E-04    1.572439E-04    2.696862E+02    3.076748E+02
   26214   2   -4.201900    1.792229E-04    1.553589E-04    2.699432E+02    3.114079E+02
   26215   2   -4.194364    1.792291E-04    1.533623E-04    2.699338E+02    3.154621E+02
   26216   2   -4.185911    1.794442E-04    1.512932E-04    2.696103E+02    3.197763E+02
   26217   2   -4.176600    1.798967E-04    1.491899E-04    2.689321E+02    3.242847E+02
   26218   2   -4.166494    1.806148E-04    1.470901E-04    2.678629E+02    3.289140E+02
   26219   2   -4.155658    1.816265E-04    1.450308E-04    2.663708E+02    3.335843E+02
   26220   2   -4.144161    1.829595E-04    1.430462E-04    2.644301E+02    3.382123E+02
   26221   2   -4.132070    1.845332E-04    1.410824E-04    2.621751E+02    3.429201E+02
   26222   2   -4.119456    1.822438E-04    1.360360E-04    2.654686E+02    3.556410E+02
   26223   2   -4.106386    1.418323E-04    1.032183E-04    3.411072E+02    4.687153E+02
   26491   2   -4.105197    1.386623E-04    1.075300E-04    3.489052E+02    4.499211E+02
   26492   2   -4.118689    1.878013E-04    1.485912E-04    2.576127E+02    3.255913E+02
   26493   2   -4.131745    1.915763E-04    1.545393E-04    2.525365E+02    3.130595E+02
   26494   2   -4.144293    1.903884E-04    1.563841E-04    2.541122E+02    3.093664E+02
   26495   2   -4.156266    1.893609E-04    1.581444E-04    2.554910E+02    3.059229E+02
   26496   2   -4.167595    1.885557E-04    1.598750E-04    2.565821E+02    3.026115E+02
   26497   2   -4.178210    1.879109E-04    1.615297E-04    2.574624E+02    2.995115E+02
   26498   2   -4.188047    1.873722E-04    1.630647E-04    2.582026E+02    2.966921E+02
   26499   2   -4.197043    1.868938E-04    1.644400E-04    2.588636E+02    2.942107E+02
   26500   2   -4.205138    1.864381E-04    1.656192E-04    2.594963E+02    2.921159E+02
   26501   2   -4.212277    1.859652E-04    1.665610E-04    2.601562E+02    2.904642E+02
